LMA/CZ	FIPS	County_Name	Total_Population	Labor_Force
00100	47019	"Carter County, TN"	51505	24411
00100	47059	"Greene County, TN"	55853	28320
00100	47073	"Hawkins County, TN"	44565	20894
00100	47163	"Sullivan County, TN"	143596	69733
00100	47171	"Unicoi County, TN"	16549	7587
00100	47179	"Washington County, TN"	92315	46083
00100	51169	"Scott County, VA"	23204	9472
00100	51173	"Smyth County, VA"	32370	15336
00100	51191	"Washington County, VA"	45887	22270
00100	51520	"Bristol city, VA"	18426	8451
001		Market Area Total	524270	252557
00200	47029	"Cocke County, TN"	29141	13996
00200	47057	"Grainger County, TN"	17095	7889
00200	47063	"Hamblen County, TN"	50480	25669
00200	47089	"Jefferson County, TN"	33016	16413
00200	47155	"Sevier County, TN"	51043	26809
002		Market Area Total	180775	90776
00301	21013	"Bell County, KY"	31506	10632
00301	47025	"Claiborne County, TN"	26137	11064
00301	47067	"Hancock County, TN"	6739	2261
00302	47001	"Anderson County, TN"	68250	32886
00302	47009	"Blount County, TN"	85969	41934
00302	47013	"Campbell County, TN"	35079	13794
00302	47093	"Knox County, TN"	335749	173515
00302	47105	"Loudon County, TN"	31255	15708
00302	47129	"Morgan County, TN"	17300	6913
00302	47145	"Roane County, TN"	47227	22354
00302	47173	"Union County, TN"	13694	6293
003		Market Area Total	698905	337354
00401	37059	"Davie County, NC"	27859	15162
00401	37067	"Forsyth County, NC"	265878	143474
00401	37169	"Stokes County, NC"	37223	20055
00401	37171	"Surry County, NC"	61704	32550
00401	37197	"Yadkin County, NC"	30488	16053
00402	51089	"Henry County, VA"	56942	30681
00402	51141	"Patrick County, VA"	17473	9148
00402	51690	"Martinsville city, VA"	16162	7859
004		Market Area Total	513729	274982
00500	37001	"Alamance County, NC"	108213	59492
00500	37033	"Caswell County, NC"	20693	10067
00500	37057	"Davidson County, NC"	126677	71066
00500	37081	"Guilford County, NC"	347420	197179
00500	37151	"Randolph County, NC"	106546	61562
00500	37157	"Rockingham County, NC"	86064	44793
00500	51143	"Pittsylvania County, VA"	55655	28758
00500	51590	"Danville city, VA"	53056	25513
005		Market Area Total	904324	498430
00601	37009	"Ashe County, NC"	22209	10970
00601	37193	"Wilkes County, NC"	59393	31062
00602	37005	"Alleghany County, NC"	9590	4665
00602	51035	"Carroll County, VA"	26594	13226
00602	51077	"Grayson County, VA"	16278	8226
00602	51640	"Galax city, VA"	6670	3358
006		Market Area Total	140734	71507
00700	37149	"Polk County, NC"	14416	6809
00700	45021	"Cherokee County, SC"	44506	22720
00700	45083	"Spartanburg County, SC"	226800	117390
00700	45087	"Union County, SC"	30337	14743
007		Market Area Total	316059	161662
00800	37045	"Cleveland County, NC"	84714	44871
00800	37071	"Gaston County, NC"	175093	93903
00800	37109	"Lincoln County, NC"	50319	27244
00800	37161	"Rutherford County, NC"	56918	29083
008		Market Area Total	367044	195101
00900	37007	"Anson County, NC"	23474	11223
00900	37025	"Cabarrus County, NC"	98935	53908
00900	37119	"Mecklenburg County, NC"	511433	292980
00900	37159	"Rowan County, NC"	110605	56865
00900	37167	"Stanly County, NC"	51765	27515
00900	37179	"Union County, NC"	84211	45046
00900	45023	"Chester County, SC"	32170	15447
00900	45057	"Lancaster County, SC"	54516	27630
00900	45091	"York County, SC"	131497	70763
009		Market Area Total	1098606	601377
01001	37011	"Avery County, NC"	14867	7071
01001	37189	"Watauga County, NC"	36952	19158
01001	47091	"Johnson County, TN"	13766	6055
01002	37023	"Burke County, NC"	75744	40855
01002	37111	"McDowell County, NC"	35681	18078
01002	37121	"Mitchell County, NC"	14433	6649
01002	37199	"Yancey County, NC"	15419	6994
010		Market Area Total	206862	104860
01100	37003	"Alexander County, NC"	27544	15736
01100	37027	"Caldwell County, NC"	70709	39384
01100	37035	"Catawba County, NC"	118412	68975
01100	37097	"Iredell County, NC"	92931	51130
011		Market Area Total	309596	175225
01201	13241	"Rabun County, GA"	11648	5819
01201	37113	"Macon County, NC"	23499	10577
01202	37075	"Graham County, NC"	7196	3210
01202	37099	"Jackson County, NC"	26846	13312
01202	37173	"Swain County, NC"	11268	4981
01203	37021	"Buncombe County, NC"	174821	89599
01203	37087	"Haywood County, NC"	46942	22344
01203	37089	"Henderson County, NC"	69285	31840
01203	37115	"Madison County, NC"	16953	8074
01203	37175	"Transylvania County, NC"	25520	11441
01204	13281	"Towns County, GA"	6754	2751
01204	13291	"Union County, GA"	11993	5226
01204	37039	"Cherokee County, NC"	20170	9034
01204	37043	"Clay County, NC"	7155	3079
012		Market Area Total	460050	221287
01301	45025	"Chesterfield County, SC"	38577	18643
01301	45069	"Marlboro County, SC"	29361	13154
01302	45031	"Darlington County, SC"	61851	29239
01302	45033	"Dillon County, SC"	29114	12768
01302	45041	"Florence County, SC"	114344	55066
01302	45043	"Georgetown County, SC"	46302	21137
01302	45051	"Horry County, SC"	144053	74975
01302	45067	"Marion County, SC"	33899	15371
01302	45089	"Williamsburg County, SC"	36815	15800
013		Market Area Total	534316	256153
01400	37051	"Cumberland County, NC"	274566	148470
01400	37093	"Hoke County, NC"	22856	10154
01400	37123	"Montgomery County, NC"	23346	11794
01400	37125	"Moore County, NC"	59013	27743
01400	37153	"Richmond County, NC"	44518	21697
01400	37155	"Robeson County, NC"	105179	48235
01400	37165	"Scotland County, NC"	33754	16163
014		Market Area Total	563232	284256
01500	37017	"Bladen County, NC"	28663	13036
01500	37019	"Brunswick County, NC"	50985	24101
01500	37047	"Columbus County, NC"	49587	21977
01500	37129	"New Hanover County, NC"	120284	63692
01500	37141	"Pender County, NC"	28855	13740
015		Market Area Total	278374	136546
01600	37065	"Edgecombe County, NC"	56558	27954
01600	37127	"Nash County, NC"	76677	40398
01600	37195	"Wilson County, NC"	66061	33488
016		Market Area Total	199296	101840
01701	37037	"Chatham County, NC"	38759	21665
01701	37063	"Durham County, NC"	181835	101043
01701	37069	"Franklin County, NC"	36414	18609
01701	37077	"Granville County, NC"	38345	19454
01701	37085	"Harnett County, NC"	67822	33156
01701	37101	"Johnston County, NC"	81306	43269
01701	37105	"Lee County, NC"	41374	20900
01701	37135	"Orange County, NC"	93851	52739
01701	37145	"Person County, NC"	30180	16340
01701	37183	"Wake County, NC"	423380	249701
01702	37181	"Vance County, NC"	38892	19566
01702	37185	"Warren County, NC"	17265	7372
017		Market Area Total	1089423	603814
01800	37061	"Duplin County, NC"	39995	19287
01800	37163	"Sampson County, NC"	47297	23128
01800	37191	"Wayne County, NC"	104666	54634
018		Market Area Total	191958	97049
01900	37031	"Carteret County, NC"	52556	26655
01900	37049	"Craven County, NC"	81613	40831
01900	37079	"Greene County, NC"	15384	7451
01900	37103	"Jones County, NC"	9414	4449
01900	37107	"Lenoir County, NC"	57274	27903
01900	37133	"Onslow County, NC"	149838	92086
01900	37137	"Pamlico County, NC"	11372	5130
01900	37147	"Pitt County, NC"	107924	56765
019		Market Area Total	485375	261270
02000	37029	"Camden County, NC"	5904	2880
02000	37041	"Chowan County, NC"	13506	6257
02000	37053	"Currituck County, NC"	13736	6862
02000	37073	"Gates County, NC"	9305	4169
02000	37139	"Pasquotank County, NC"	31298	14092
02000	37143	"Perquimans County, NC"	10447	4525
02000	51550	"Chesapeake city, VA"	151976	79979
02000	51710	"Norfolk city, VA"	261229	141808
02000	51740	"Portsmouth city, VA"	103907	48845
02000	51800	"Suffolk city, VA"	52141	24583
02000	51810	"Virginia Beach city, VA"	393069	225245
020		Market Area Total	1046518	559245
02100	37013	"Beaufort County, NC"	42283	20475
02100	37055	"Dare County, NC"	22746	12879
02100	37095	"Hyde County, NC"	5411	2392
02100	37117	"Martin County, NC"	25078	11947
02100	37177	"Tyrrell County, NC"	3856	1730
02100	37187	"Washington County, NC"	13997	6154
021		Market Area Total	113371	55577
02200	51025	"Brunswick County, VA"	15987	6891
02200	51037	"Charlotte County, VA"	11688	5507
02200	51049	"Cumberland County, VA"	7825	3739
02200	51083	"Halifax County, VA"	29033	14455
02200	51111	"Lunenburg County, VA"	11419	5370
02200	51117	"Mecklenburg County, VA"	29241	14011
02200	51135	"Nottoway County, VA"	14993	6557
02200	51147	"Prince Edward County, VA"	17320	7554
02200	51780	"South Boston city, VA"	6997	3294
022		Market Area Total	144503	67378
02300	51009	"Amherst County, VA"	28578	13937
02300	51011	"Appomattox County, VA"	12298	6123
02300	51019	"Bedford County, VA"	45656	24297
02300	51031	"Campbell County, VA"	47572	25330
02300	51515	"Bedford city, VA"	6073	2711
02300	51680	"Lynchburg city, VA"	66049	31515
023		Market Area Total	206226	103913
02400	51007	"Amelia County, VA"	8787	4361
02400	51036	"Charles City County, VA"	6282	3330
02400	51041	"Chesterfield County, VA"	209274	117998
02400	51053	"Dinwiddie County, VA"	20960	10934
02400	51075	"Goochland County, VA"	14163	7278
02400	51085	"Hanover County, VA"	63306	35378
02400	51087	"Henrico County, VA"	217881	124298
02400	51097	"King and Queen County, VA"	6289	3058
02400	51101	"King William County, VA"	10913	5677
02400	51127	"New Kent County, VA"	10445	5520
02400	51145	"Powhatan County, VA"	15328	7369
02400	51149	"Prince George County, VA"	27394	15037
02400	51183	"Sussex County, VA"	10248	4858
02400	51570	"Colonial Heights city, VA"	16064	8535
02400	51670	"Hopewell city, VA"	23101	11509
02400	51730	"Petersburg city, VA"	38386	17896
02400	51760	"Richmond city, VA"	203056	103025
024		Market Area Total	901877	486061
02500	51073	"Gloucester County, VA"	30131	15224
02500	51093	"Isle of Wight County, VA"	25053	12610
02500	51095	"James City County, VA"	34859	18571
02500	51115	"Mathews County, VA"	8348	4022
02500	51119	"Middlesex County, VA"	8653	3997
02500	51175	"Southampton County, VA"	17550	7964
02500	51181	"Surry County, VA"	6145	2888
02500	51199	"York County, VA"	42422	22613
02500	51620	"Franklin city, VA"	7864	3500
02500	51650	"Hampton city, VA"	133793	71440
02500	51700	"Newport News city, VA"	170045	89522
02500	51735	"Poquoson city, VA"	11005	5938
02500	51830	"Williamsburg city, VA"	11530	5257
025		Market Area Total	507398	263546
02600	37015	"Bertie County, NC"	20388	8903
02600	37083	"Halifax County, NC"	55516	23891
02600	37091	"Hertford County, NC"	22523	10165
02600	37131	"Northampton County, NC"	20798	8713
02600	51081	"Greensville County, VA"	8853	4155
02600	51595	"Emporia city, VA"	5306	2436
026		Market Area Total	133384	58263
02700	28039	"George County, MS"	16673	6753
02700	28041	"Greene County, MS"	10220	3772
02700	28045	"Hancock County, MS"	31760	12540
02700	28047	"Harrison County, MS"	165365	78515
02700	28059	"Jackson County, MS"	115243	54145
02700	28109	"Pearl River County, MS"	38714	16203
02700	28131	"Stone County, MS"	10750	4617
027		Market Area Total	388725	176545
02800	28061	"Jasper County, MS"	17114	6751
02800	28067	"Jones County, MS"	62031	26420
02800	28129	"Smith County, MS"	14798	6316
02800	28153	"Wayne County, MS"	19517	8038
028		Market Area Total	113460	47525
02900	28031	"Covington County, MS"	16527	6712
